name,file size,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
/tests/run-dbg-support2,433,177,89,59,45,36,30,26,23,20,19
/tests/getopts10.sub,208,656,328,219,164,132,110,94,82,73,66
/tests/printf3.sub,1340,656,328,219,164,132,110,94,82,73,66
/tests/assoc4.sub,305,656,328,219,164,132,110,94,82,73,66
/tests/heredoc.right,1576,42,21,19,17,17,16,16,15,15,15
/tests/new-exp1.sub,251,656,328,219,164,132,110,94,82,73,66
/tests/ifs.tests,753,656,328,219,164,132,110,94,82,73,66
/tests/varenv1.sub,395,656,328,219,164,132,110,94,82,73,66
/tests/glob3.sub,1469,1175,591,396,297,241,201,171,151,137,122
/doc/bashbug.1,1897,100,54,41,31,25,23,19,17,16,14
/examples/functions/shcat,57,5,3,2,2,1,1,1,1,1,1
/tests/new-exp8.sub,1796,656,328,219,164,132,110,94,82,73,66
/tests/dollar-at-star6.sub,310,656,328,219,164,132,110,94,82,73,66
/tests/attr1.sub,692,656,328,219,164,132,110,94,82,73,66
/lib/sh/uconvert.c,2751,456,232,155,118,96,80,70,61,56,51
/tests/vredir2.sub,471,656,328,219,164,132,110,94,82,73,66
/tests/redir9.sub,393,656,328,219,164,132,110,94,82,73,66
/lib/sh/utf8.c,2971,1054,533,361,272,221,185,160,140,126,112
/tests/rsh.tests,606,656,328,219,164,132,110,94,82,73,66
/tests/varenv7.sub,731,656,328,219,164,132,110,94,82,73,66
/tests/errors6.sub,927,656,328,219,164,132,110,94,82,73,66
/tests/case1.sub,734,656,328,219,164,132,110,94,82,73,66
/tests/dollar-at1.sub,287,656,328,219,164,132,110,94,82,73,66
/tests/procsub.right,473,34,17,12,9,8,6,5,5,5,4
/tests/redir3.sub,234,656,328,219,164,132,110,94,82,73,66
/tests/nameref19.sub,996,656,328,219,164,132,110,94,82,73,66
/dispose_cmd.h,1397,56,28,19,19,19,10,10,10,10,10
/tests/rsh2.sub,167,656,328,219,164,132,110,94,82,73,66
/tests/array18.sub,455,656,328,219,164,132,110,94,82,73,66
/findcmd.h,1626,65,33,22,22,21,11,11,11,11,11
/RBASH,1693,771,386,258,194,155,130,112,98,88,78
/tests/tilde.right,365,27,14,9,7,6,5,4,4,3,3
/tests/new-exp2.sub,1058,657,329,220,165,133,111,95,83,74,67
/tests/assoc7.sub,262,656,328,219,164,132,110,94,82,73,66
/tests/heredoc3.sub,1192,656,328,219,164,132,110,94,82,73,66
/tests/dbg-support2.right,114,20,10,10,10,10,5,5,5,5,5
/tests/assoc10.sub,357,656,328,219,164,132,110,94,82,73,66
/tests/trap.right,2240,34,18,16,16,15,14,14,14,14,14
/tests/nquote4.tests,325,656,328,219,164,132,110,94,82,73,66
/tests/func1.sub,638,656,328,219,164,132,110,94,82,73,66
/tests/history3.sub,339,656,328,219,164,132,110,94,82,73,66
/include/systimes.h,1778,25,13,9,8,7,5,4,4,4,4
/tests/array19.sub,2019,711,356,238,178,143,120,102,89,80,72
/tests/redir8.sub,657,656,328,219,164,132,110,94,82,73,66
/tests/getopts6.sub,425,656,328,219,164,132,110,94,82,73,66
/tests/array12.sub,437,656,328,219,164,132,110,94,82,73,66
/tests/nameref17.sub,1938,656,328,219,164,132,110,94,82,73,66
/tests/new-exp11.sub,578,656,328,219,164,132,110,94,82,73,66
/tests/nameref20.sub,989,656,328,219,164,132,110,94,82,73,66
/tests/run-vredir,105,125,63,42,32,25,21,18,16,14,13
/mailcheck.h,1297,79,40,27,24,23,14,13,12,12,12
/lib/malloc/shmalloc.h,2136,104,52,35,35,35,18,18,18,18,18
/tests/array10.sub,1152,656,328,219,164,132,110,94,82,73,66
/lib/sh/strtoimax.c,2653,14,7,5,5,5,3,3,3,3,3
/tests/attr.right,1136,16,8,8,8,8,8,8,8,8,8
/tests/posixexp5.sub,1168,656,328,219,164,132,110,94,82,73,66
/tests/extglob3.sub,262,656,328,219,164,132,110,94,82,73,66
/tests/arith-for.right,1105,4,4,4,4,4,4,4,4,4,4
/xmalloc.h,1759,189,95,64,51,44,33,29,26,24,23
/tests/nameref18.sub,691,656,328,219,164,132,110,94,82,73,66
/tests/read.right,713,4,2,2,2,2,2,2,2,2,2
/tests/appendop.right,490,40,22,19,12,11,11,10,10,8,8
/tests/nquote5.tests,948,656,328,219,164,132,110,94,82,73,66
/tests/jobs3.sub,373,646,323,216,162,130,109,93,82,73,65
/tests/read3.sub,296,656,328,219,164,132,110,94,82,73,66
/tests/nameref21.sub,568,656,328,219,164,132,110,94,82,73,66
/tests/dollar-star6.sub,224,656,328,219,164,132,110,94,82,73,66
/tests/varenv6.sub,286,656,328,219,164,132,110,94,82,73,66
/tests/new-exp3.sub,333,656,328,219,164,132,110,94,82,73,66
/examples/functions/isnum2,1266,2,2,2,2,2,1,1,1,1,1
/tests/varenv15.sub,525,656,328,219,164,132,110,94,82,73,66
/tests/varenv12.sub,1753,1708,878,595,453,367,308,266,234,209,190
/tests/assoc6.sub,1528,656,328,219,164,132,110,94,82,73,66
/tests/array20.sub,766,656,328,219,164,132,110,94,82,73,66
/tests/errors1.sub,152,656,328,219,164,132,110,94,82,73,66
/tests/errors4.sub,380,656,328,219,164,132,110,94,82,73,66
/tests/comsub-posix.right,1050,58,30,20,17,13,11,10,10,8,8
/tests/array21.sub,481,656,328,219,164,132,110,94,82,73,66
/lib/sh/times.c,2064,32,17,11,10,8,6,5,5,5,5
/tests/nameref3.sub,680,656,328,219,164,132,110,94,82,73,66
/tests/posixexp1.sub,1878,656,328,219,164,132,110,94,82,73,66
/tests/histexp3.sub,447,656,328,219,164,132,110,94,82,73,66
/tests/histexp4.sub,234,656,328,219,164,132,110,94,82,73,66
